25,208.233,196.106,21.225,41.315,0.9463250
25,196.249,197.789,17.323,40.029,0.5732950
25,208.233,196.106,21.225,41.315,0.0074400
25,194.885,196.796,20.168,42.263,0.7778200
50,170.101,200.710,27.211,46.575,0.1542310
50,190.023,198.067,29.114,50.660,0.8438930
50,166.294,198.754,30.573,50.541,0.9526270
50,188.591,196.118,33.029,48.895,0.5207780
75,137.870,186.065,34.850,52.761,0.9767900
75,109.431,189.453,30.905,51.371,0.9996940
75,129.784,185.998,42.854,50.076,0.4895100
100,13.197,177.983,37.262,64.078,0.9705530
100,42.363,176.888,39.330,68.871,0.9955350
100,14.570,157.185,56.764,96.012,0.0056560
100,15.009,174.782,34.783,62.323,0.3259060
100,41.822,173.206,42.746,74.720,0.0769010
875,301.088,221.038,14.934,24.171,0.0431610
950,337.628,232.880,16.605,25.867,0.7537760
975,349.407,235.419,17.762,29.177,0.9628220
1000,368.907,221.690,19.356,29.589,0.9973090
1025,361.826,222.838,17.802,27.391,0.9862040
1050,350.960,207.330,20.060,29.994,0.8805570
1075,344.301,214.762,20.947,32.397,0.9914020
1100,342.343,210.309,25.397,38.144,0.9691630
1100,342.343,210.309,25.397,38.144,0.0242440
1125,343.763,202.052,25.660,39.283,0.1924120
1125,342.844,199.959,25.741,37.951,0.9426810
1150,325.617,206.002,26.509,43.976,0.9922270
1150,321.004,205.467,26.801,45.294,0.0117520
1175,313.573,197.976,27.845,53.364,0.9976650
1175,312.758,193.535,27.992,53.748,0.0940880
1200,295.079,196.871,29.793,56.329,0.9996320
1225,257.945,188.406,32.255,72.177,0.9929010
1225,258.234,189.927,31.898,59.211,0.2729680
1250,202.374,186.928,46.753,85.992,0.9982150
1250,343.113,191.416,26.307,37.735,0.0063000
1275,103.486,151.149,50.473,132.911,0.9998210
1275,367.524,184.647,25.384,41.255,0.4843590
1350,460.519,168.910,28.851,54.736,0.5367840
1375,465.600,173.007,27.090,52.804,0.0083150
1400,470.778,170.826,29.423,54.961,0.0104400
1425,488.787,165.394,29.395,66.234,0.0369410
1450,526.329,165.282,40.356,73.243,0.0093660
1575,351.038,240.317,16.977,28.115,0.0116710
1600,355.182,211.768,17.096,30.281,0.7550790
1600,509.032,207.625,23.653,40.329,0.3261750
1600,498.843,208.349,24.788,40.098,0.0230220
1625,353.952,207.570,19.337,29.673,0.2853350
1625,558.150,198.322,27.314,48.774,0.8497080
1625,539.316,200.064,27.259,46.136,0.0943900
1625,591.208,200.317,27.240,46.883,0.0750820
1650,358.648,202.560,18.936,32.042,0.3986420
1650,644.697,191.275,33.835,55.755,0.9994490
1650,612.078,195.049,29.241,49.268,0.9682390
1675,364.085,197.885,22.366,38.916,0.1746100
1700,379.359,196.722,23.685,43.833,0.9467430
1700,376.736,199.900,23.731,44.037,0.0052710
1725,392.478,187.745,27.362,45.583,0.4687170
1850,404.953,212.819,22.587,30.925,0.0100240
1850,407.864,213.243,21.179,30.044,0.2652250
1875,474.740,212.026,21.647,32.132,0.0644540
1875,475.599,211.522,24.382,34.507,0.6888380
1900,384.833,218.234,20.226,29.107,0.5958920
1900,488.192,215.288,23.443,39.855,0.0053550
1900,490.309,212.755,23.264,36.604,0.9191830
1925,478.358,207.741,26.583,39.623,0.6368610
1925,371.564,208.906,23.249,30.486,0.8906600
1925,333.453,210.709,22.335,31.949,0.6306070
1925,380.682,207.810,24.939,35.870,0.0663500
1950,499.449,205.054,32.337,46.441,0.5042730
1975,528.539,204.675,30.044,49.152,0.1163300
1975,528.539,204.675,30.044,49.152,0.0097200
2000,570.339,199.318,25.650,50.677,0.0989260
2000,572.961,192.829,32.841,55.423,0.7731170
2025,629.988,192.936,33.047,59.121,0.1495260
2025,629.884,188.391,34.768,62.247,0.0060100
2050,669.910,187.502,42.170,76.127,0.4998660
2050,669.910,187.502,42.170,76.127,0.0118170
2200,108.051,136.553,95.413,332.241,0.0861320
2225,104.841,148.489,99.458,308.338,0.0052510
2250,107.526,159.479,94.402,289.354,0.0245210
2300,107.459,154.402,93.797,294.649,0.0278740
2300,586.780,212.017,34.378,51.620,0.9440070
2325,474.552,208.438,29.398,61.853,0.0435810
2325,474.552,208.438,29.398,61.853,0.0085760
2350,105.963,150.594,92.317,301.111,0.0120080
2400,109.250,145.909,94.099,313.903,0.0683580
2425,103.135,139.437,100.244,325.624,0.0171180
2450,103.304,141.294,100.523,324.394,0.0069660
2525,108.776,153.395,95.900,294.258,0.0280450
2550,103.632,139.139,102.814,333.379,0.0090090
2600,106.949,130.950,93.578,344.935,0.0306370
2625,104.169,129.727,103.016,348.197,0.1241610
2650,103.695,128.208,100.348,355.503,0.0350620
2675,467.434,202.112,24.629,71.028,0.0138670
2700,105.971,130.611,96.960,346.194,0.0252880
2725,464.645,197.132,25.304,80.658,0.0647620
2725,109.784,129.344,96.652,340.733,0.0114020
2750,471.711,197.853,32.273,69.490,0.5605920
2750,117.426,168.447,88.753,264.359,0.1025890
2750,469.454,196.923,31.367,78.041,0.2583510
2775,494.059,197.352,35.496,81.264,0.9985050
2800,535.724,186.375,40.092,103.053,0.0243050
2800,543.994,192.667,35.084,88.798,0.9087240
2825,608.289,178.275,55.493,110.516,0.9980940
2825,414.664,216.755,21.720,47.067,0.4615240
2850,417.369,217.434,23.173,38.210,0.9993370
2875,425.961,216.294,22.983,39.884,0.9971570
2900,442.817,216.186,23.799,41.388,0.9998400
2925,468.693,219.587,24.414,41.174,0.9998960
2950,499.057,206.376,25.664,45.553,0.9998980
